"year","love","baby","why","money","burn"
"1990","16495","9651","1904","931","69"
"1991","17616","8332","2323","463","112"
"1992","14557","11346","2735","479","226"
"1993","14524","10577","2423","345","91"
"1994","13368","7881","2324","811","110"
"1995","15576","8610","2561","900","155"
"1996","11818","9150","2489","967","232"
"1997","13804","9866","2412","766","118"
"1998","13421","10417","1939","1224","293"
"1999","11422","7844","1757","1313","198"
"2000","10733","11174","2912","1790","396"
"2001","10023","9465","4029","1337","351"
"2002","11397","11346","2624","825","240"
"2003","14183","8999","3304","1466","234"
"2004","12122","9060","4050","1015","589"
"2005","10161","9205","2596","1565","159"
"2006","8894","7889","3237","1800","293"
"2007","11054","6999","4679","3745","228"
"2008","11014","7801","2573","2044","312"
"2009","12061","8254","3180","2190","397"
"2010","15295","12837","2427","2397","369"
"2011","11357","10145","2302","2524","257"
"2012","13135","10662","2145","1714","1002"
"2013","16148","7990","2564","2372","1723"
"2014","12001","8717","2814","2606","1950"
"2015","13066","10456","2272","3476","256"
